Player,2021 FantasyPoints,2021 Tm,Pos,AVG,2019 FantasyPoints,2020 FantasyPoints,Average Total Production,Production21,Prediction
Breece Hall,176.8,NYJ,RB,43.0,0,0,0,0,197.72099999999995
Drake London,113.5,ATL,WR,110.8,0,0,0,0,199.84999999999994
Ken Walker III,105.6,SEA,RB,87.8,0,0,0,0,207.40000000000012
Treylon Burks,116.2,TEN,WR,123.0,0,0,0,0,195.09999999999997
Jameson Williams,70.3,DET,WR,167.0,0,0,0,0,150.14999999999975
Garrett Wilson,97.6,NYJ,WR,137.3,0,0,0,0,183.03749999999997
Chris Olave,98.5,NO,WR,122.3,0,0,0,0,186.60000000000002
Skyy Moore,86.9,KC,WR,147.3,0,0,0,0,168.2999999999997
Christian Watson,72.5,GB,WR,160.8,0,0,0,0,154.35000000000025
George Pickens,87.6,PIT,WR,164.3,0,0,0,0,159.96849999999972
Jahan Dotson,88.6,WAS,WR,173.5,0,0,0,0,156.04999999999973
James Cook,100.3,BUF,RB,110.5,0,0,0,0,193.4
Dameon Pierce,100.3,HOU,RB,131.8,0,0,0,0,182.05999999999992
Alec Pierce,76.7,IND,WR,189.5,0,0,0,0,151.1785
Rachaad White,77.5,TB,RB,143.0,0,0,0,0,165.75
David Bell,55.3,CLE,WR,248.5,0,0,0,0,101.89999999999982
Jalen Tolbert,87.9,DAL,WR,174.8,0,0,0,0,159.35049999999976
Isaiah Spiller,82.7,LAC,RB,130.3,0,0,0,0,174.70000000000033
Brian Robinson Jr.,107.0,WAS,RB,177.0,0,0,0,0,163.5
Wan'Dale Robinson,58.3,NYG,WR,210.3,0,0,0,0,122.5
Trey McBride,29.8,ARI,TE,251.5,0,0,0,0,87.64999999999984
Tyler Allgeier,81.5,ATL,RB,149.5,0,0,0,0,164.5
Tyrion Davis-Price,44.4,SF,RB,192.5,0,0,0,0,124.45000000000016
Tyquan Thornton,14.1,NE,WR,272.5,0,0,0,0,69.30000000000013
Zamir White,61.9,LV,RB,198.8,0,0,0,0,130.0499999999998
Khalil Shakir,16.8,BUF,WR,385.0,0,0,0,0,13.906000000000011
Romeo Doubs,53.1,GB,WR,194.5,0,0,0,0,127.79999999999981
Calvin Austin III,20.6,PIT,WR,345.0,0,0,0,0,36.30000000000006
Greg Dulcich,28.9,DEN,TE,312.0,0,0,0,0,56.9499999999999
Hassan Haskins,46.0,TEN,RB,209.0,0,0,0,0,117.0
Pierre Strong Jr.,22.0,NE,RB,276.5,0,0,0,0,72.46165555555565
Jelani Woods,34.2,IND,TE,280.0,0,0,0,0,75.60000000000012
Danny Gray,15.9,SF,WR,396.0,0,0,0,0,8.450000000000014
Keaontay Ingram,15.7,ARI,RB,236.0,0,0,0,0,88.01593333333331
Velus Jones Jr.,50.5,CHI,WR,276.0,0,0,0,0,88.61332222222218
Kyren Williams,14.7,LAR,RB,293.0,0,0,0,0,59.350000000000065
Kyle Philips,12.0,TEN,WR,303.0,0,0,0,0,53.0
Tyler Badie,12.9,BAL,RB,248.0,0,0,0,0,80.94999999999987
Jeremy Ruckert,5.4,NYJ,TE,,0,0,0,0,91.58222222222219
Snoop Conner,11.9,JAC,RB,305.0,0,0,0,0,51.94999999999991
Jerome Ford,13.4,CLE,RB,,0,0,0,0,95.58222222222216
Ty Chandler,9.1,MIN,RB,,0,0,0,0,93.43222222222235
Isaiah Likely,26.7,BAL,TE,393.0,0,0,0,0,15.34999999999998
Isiah Pacheco,52.3,KC,RB,215.0,0,0,0,0,117.14999999999978
Cade Otton,30.0,TB,TE,279.5,0,0,0,0,73.75
Daniel Bellinger,37.1,NYG,TE,301.5,0,0,0,0,66.30000000000013
Kevin Harris,7.2,NE,RB,,0,0,0,0,92.48222222222219
Erik Ezukanma,17.7,MIA,WR,,0,0,0,0,97.18343333333327
Chigoziem Okonkwo,8.2,TEN,TE,,0,0,0,0,93.51190000000001
Trestan Ebner,16.4,CHI,RB,,0,0,0,0,97.08222222222216
Charlie Kolar,22.5,BAL,TE,,0,0,0,0,100.39689999999995
Bo Melton,3.5,SEA,WR,,0,0,0,0,90.63222222222231
Cole Turner,9.4,WAS,TE,,0,0,0,0,93.58222222222217
Abram Smith,13.9,NO,RB,250.0,0,0,0,0,80.44999999999987
Jake Ferguson,18.8,DAL,TE,,0,0,0,0,98.28222222222213
Montrell Washington,25.4,DEN,WR,,0,0,0,0,101.58222222222211
Grant Calcaterra,10.6,PHI,TE,,0,0,0,0,94.5617222222222
Jalen Nailor,5.8,MIN,WR,350.0,0,0,0,0,42.25049999999997
Samori Toure,12.4,GB,WR,,0,0,0,0,95.08222222222217
Michael Woods II,8.1,FA,WR,,0,0,0,0,93.5132222222223
Tyler Goodson,40.2,GB,RB,,0,0,0,0,108.98222222222228
James Mitchell,9.7,DET,TE,,0,0,0,0,93.7322222222222
