,Player,2021 Tm,2021 Rec,2021 RushingYds,2021 ReceivingTD,2021 Fantasy Points,Pos,AVG
0,Breece Hall,NYJ,39.3,991.7,6.7,176.8,RB,43.0
1,Drake London,ATL,65.5,863.7,4.7,113.5,WR,110.8
2,Ken Walker III,SEA,17.6,643.8,4.6,105.6,RB,87.8
3,Treylon Burks,TEN,58.7,834.8,5,116.2,WR,123.0
4,Jameson Williams,DET,38.3,526,3.1,70.3,WR,167.0
5,Garrett Wilson,NYJ,53.7,731.9,4.1,97.6,WR,137.3
6,Chris Olave,NO,50.3,718.2,4.6,98.5,WR,122.3
7,Skyy Moore,KC,45.8,616.5,4.3,86.9,WR,147.3
8,Christian Watson,GB,37.4,503.6,3.7,72.5,WR,160.8
9,George Pickens,PIT,53.8,671.2,3.6,87.6,WR,164.3
10,Jahan Dotson,WAS,51.3,679.2,3.7,88.6,WR,173.5
11,James Cook,BUF,29.2,474.4,3.6,100.3,RB,110.5
12,Dameon Pierce,HOU,24.7,558.7,3.8,100.3,RB,131.8
13,Alec Pierce,IND,40.6,552.6,3.6,76.7,WR,189.5
14,Rachaad White,TB,19.9,374.6,3.4,77.5,RB,143.0
15,David Bell,CLE,33.3,413.3,2.3,55.3,WR,248.5
16,Jalen Tolbert,DAL,48.2,632.9,4.3,87.9,WR,174.8
17,Isaiah Spiller,LAC,22.8,407.6,3.1,82.7,RB,130.3
18,Brian Robinson Jr.,WAS,19,628,4.8,107,RB,177.0
20,Wan'Dale Robinson,NYG,36.1,408.3,2.3,58.3,WR,210.3
21,Trey McBride,ARI,19.9,207.7,1.7,29.8,TE,251.5
24,Tyler Allgeier,ATL,17,500.5,2.9,81.5,RB,149.5
25,Tyrion Davis-Price,SF,10.7,230.2,1.9,44.4,RB,192.5
26,Tyquan Thornton,NE,8.7,102.5,0.7,14.1,WR,272.5
28,Zamir White,LV,11.5,347,2.9,61.9,RB,198.8
29,Khalil Shakir,BUF,9.7,118.8,0.7,16.8,WR,385.0
31,Romeo Doubs,GB,28.4,377.3,2.8,53.1,WR,194.5
32,Calvin Austin III,PIT,14.1,165.6,0.7,20.6,WR,345.0
33,Greg Dulcich,DEN,18.6,201.6,1.5,28.9,TE,312.0
34,Hassan Haskins,TEN,8.4,278.8,1.9,46,RB,209.0
35,Pierre Strong Jr.,NE,5.1,115.9,1,22,RB,276.5
36,Jelani Woods,IND,21.7,229.9,2.1,34.2,TE,280.0
37,Danny Gray,SF,10.1,121.3,0.7,15.9,WR,396.0
38,Keaontay Ingram,ARI,3.1,102.8,0.5,15.7,RB,236.0
39,Velus Jones Jr.,CHI,28.6,366.3,2.2,50.5,WR,276.0
41,Kyren Williams,LAR,3.7,66.9,0.9,14.7,RB,293.0
42,Kyle Philips,TEN,8,96.8,0.4,12,WR,303.0
43,Tyler Badie,BAL,2.7,81.9,0.4,12.9,RB,248.0
44,Jeremy Ruckert,NYJ,3.7,36.9,0.3,5.4,TE,
45,Snoop Conner,JAC,3.7,67.2,0.4,11.9,RB,305.0
46,Jerome Ford,CLE,2,84.8,0.5,13.4,RB,
47,Ty Chandler,MIN,4,60.7,0.1,9.1,RB,
49,Isaiah Likely,BAL,17,174.4,1.6,26.7,TE,393.0
50,Isiah Pacheco,KC,13.9,267.8,2.3,52.3,RB,215.0
51,Cade Otton,TB,19.7,206.2,1.7,30,TE,279.5
52,Daniel Bellinger,NYG,25.6,270.5,1.7,37.1,TE,301.5
53,Kevin Harris,NE,2,34.6,0.3,7.2,RB,
54,Erik Ezukanma,MIA,9.2,129.3,0.8,17.7,WR,
55,Chigoziem Okonkwo,TEN,5.3,55.8,0.5,8.2,TE,
56,Trestan Ebner,CHI,6.6,69.3,0.5,16.4,RB,
57,Charlie Kolar,BAL,13,151.3,1.2,22.5,TE,
58,Bo Melton,SEA,2.8,32.3,0.1,3.5,WR,
59,Cole Turner,WAS,6.1,63.8,0.5,9.4,TE,
60,Abram Smith,NO,1.9,85.3,0.6,13.9,RB,250.0
61,Jake Ferguson,DAL,13.1,136.3,0.9,18.8,TE,
67,Montrell Washington,DEN,13.8,187.2,1.1,25.4,WR,
71,Grant Calcaterra,PHI,6.6,66.6,0.7,10.6,TE,
72,Jalen Nailor,MIN,3.4,39.9,0.3,5.8,WR,350.0
73,Samori Toure,GB,6.8,80.6,0.7,12.4,WR,
74,Michael Woods II,FA,3.9,60.5,0.3,8.1,WR,
76,Tyler Goodson,GB,9.1,198.1,1.9,40.2,RB,
77,James Mitchell,DET,6.9,62.2,0.6,9.7,TE,
